30;0;300;;Диагностика;Тестирование;Полная диагностика;Проверка;;;;
120;1200;1700;1;Замена матрицы;;;;;;;
50;1000;1600;;Замена разъема ЗУ;Замена разъема;Замена разъема VGA;Замена разъема HDMI;Ремонт разъема ЗУ;Ремонт разъема;Ремонт разъема VGA;Ремонт разъема HDMI
120;1500;2500;1;Ремонт блока питания;Восстановление блока питания;Замена блока питания;;;;;
60;800;1100;;Ремонт блока управления;Восстановление блока управления;Восстановлениe ЭБУ;;;;;
120;1200;1600;1;Замена процессора;Замена контроллера;Замена ЦПУ;Замена контроллера развертки;Замена платы управления;;;
60;1300;1800;;Ремонт подсветки;Восстановление LED;Восстановление LED подсветки;;;;;
180;1000;1300;1;Замена платы ;Замена материнской платы;Замена системной платы;Замена базовой платы;;;;
30;1100;1400;;Замена лампы подсветки;Замена LED;Замена LED подсветки;Замена ЛЕД;Замена ЛЕД подсветки;Замена LED лампы;;
60;800;1100;;Прошивка блока управления;Прошивка ПО;Обновление ПО;Обновление программного обеспечения;Прошивка ЭБУ;;;
180;2500;3500;;Ремонт цепи питания;Восстановление цепи питания;Восстановление токопроводящих дорожек;Ремонт токопроводящих дорожек;;;;
