30;0;300;;Диагностика;Тестирование;Полная диагностика;Программная диагностика;;
60;500;1000;1;Замена матрицы;Замена дисплея;Замена экрана;Замена монитора;;
60;600;1100;;Замена шлейфа матрицы;Замена шлейфа дисплея;Замена шлейфа экрана;;;
60;800;1400;;Чистка (замена термопасты);Замена термопасты;;;;
45;900;1200;;Замена кулера;Замена кулера системы охлаждения;Замена кулера охлаждения;;;
120;1800;2800;;Ремонт цепи питания;Ремонт контроллера питания;Ремонт элементов цепи питания;Восстановление цепи питания;;
120;1600;2200;1;Замена видеочипа;Замена видеокарты;Замена видеоадаптера;;;
120;1500;2100;;Замена северного моста;Замена южного моста;Замена чипа южного моста;Замена чипа северного моста;;
45;600;800;;Ремонт разъема;Замена разъема;;;;
45;500;800;;Прошивка BIOS;Прошивка базовой системы загрузки;Перепрошивка BIOS;Обновление BIOS;Прошивка БИОС;
15;300;500;;Замена оперативной памяти;Замена ОЗУ;Замена оперативного запоминающего устройства;;;
15;300;500;;Замена HDD;Замена винчестера;Замена жесткого диска;Замена SSD;Замена диска HDD;Замена диска SSD
30;300;500;1;Замена процессора;Замена ЦПУ;Замена центрального процессора;;;
60;500;1000;;Замена материнской платы;Замена системной платы;Замена основной платы;Замена базовой платы;;
30;500;800;;Замена модуля Wi-Fi;Замена адаптера Wi-Fi;Замена Wi-Fi;;;
45;500;1500;;Установка операционной системы;Установка ОС;Установка ПО;Установка драйверов;;
45;400;800;;Замена звуковой платы;Замена звукового адаптера;Замена звуковой карты;;;
45;500;900;;Замена камеры;Замена веб-камеры;Замена видеокамеры;;;
45;800;1000;;Замена микрофона;Замена внутреннего микрофона;Замена встроенного микрофона;;;
15;300;600;;Замена блока питания;Ремонт блока питания;;;;
