30;0;300;;Диагностика;Тестирование;Комплексная диагностика;;
160;1200;3000;1;Замена дисплейного модуля;Замена дисплея;Замена экрана;Замена монитора;
120;600;900;1;Замена сенсорного стекла;Замена тачскрина;Замена сенсора;;
60;500;800;;Ремонт шлейфа экрана;Ремонт шлейфа дисплея;Ремонт шлейфа монитора;;
60;800;1200;;Замена датчика света;Замена датчика освещенности;;;
60;800;1200;;Замена голосового динамика;Замена разговорного динамика;;;
60;800;1200;;Замена динамика полифонии;Замена динамика громкой связи;;;
60;500;800;;Замена гарнитурного разъема;Замена разъема наушников;;;
60;500;800;;Замена микрофона;Замена записывающего устройства;;;
40;500;800;;Замена виброматора;Замена вибрации;Замена вибродвижка;Замена вибро;
40;500;1000;;Замена входа ЗУ;Замена разъма зарядки;Замена разъема питания;Замена входа зарядки;Замена входа питания
80;500;1000;;Замена разъема флеш;Замена разъема флеш карты;Ремонт разъема флеш;;
240;500;1200;1;Обновление ПО;Обновление программного обеспечения;Прошивка;Восстановление ПО;
240;1000;1500;;Восстановление IMEI;Восстановление идентификатора сети;;;
120;500;1200;;Замена корпуса;Замена корпусных элементов;;;
180;600;1100;;Замена GPS;Замена GPS модуля;Замена модуля навигации;;
300;1500;3000;1;Замена контроллера питания;Замена элементов цепи питания;Замена цепи питания;;
120;500;1200;;Замена кнопки включения;Замена кнопки блокировки;Замена кнопки выключения;;
30;500;1000;1;Замена аккумулятора;Замена батареи;Замена АКБ;;
60;700;1500;;Ремонт боковых кнопок громкости;Восстановление кнопок громкости;Ремонт кнопок громкости;Ремонт качельки громкости;
120;1500;3500;;Замена фронтальной камеры;Замена передней камеры;Замена камеры видеосвязи;;
120;1000;3000;;Замена основной камеры;Замена задней камеры;Замена камеры;;
80;700;1500;;Замена модуля Wi-Fi;Замена Wi-Fi;Ремонт Wi-Fi;;
