30;0;300;;Диагностика;Тестирование;Полная диагностика;Комплексная диагностика;;
60;1000;1700;1;Замена матрицы;;;;;
120;1200;2500;1;Замена тюнера;Замена ТВ тюнера;Замена TV тюнера;Ремонт тюнера;;
45;1000;1600;1;Замена разъема;Замена HDMI;;;;
120;800;1200;1;Замена блока питания;;;;;
60;700;1100;;Ремонт блока управления;Восстановление блока управления;Ремонт ЭБУ;Восстановление ЭБУ;;
60;1200;1600;;Замена контроллера;Замена процессора;;;;
60;1200;1400;1;Замена лампы подсветки;Замена LED;Замена LED подсветки;Замена ЛЕД;Замена ЛЕД подсветки;Замена LED лампы
60;800;1250;;Замена Wi-Fi;Замена адаптера Wi-Fi;;;;
45;800;1150;;Прошивка блока управления;Перепрошивка ЭБУ;Перепрошивка блока управления;Обновление ПО;Обновление программного обеспечения;
180;2000;3500;;Ремонт цепи питания;Восстановление цепи питания;;;;
