перегрев;загрязнение охлаждения, разрушение термопасты;2000;приставка
не включается;выход из строя блока питания;2800;приставка
уход в безопасный режим;сбой в программном обеспечении;3000;приставка
не читает диски;поломка лазера, выход из строя привода;5000;приставка
быстро разряжается;износ батареи, выход из строя контроллера;1500;часы
зависает;проблемы в ПО;1000;часы
не работает микрофон;попадание воды/грязи, падение;1400;часы
разбился дисплей;падение устройства;1800;часы
не работает динамик;попадние воды, падение;1400;часы
перезагружается;сбой в программном обеспечении;1200;часы
быстро разряжается;износ батареи, выход из строя контроллера;1500;электросамокат
не включается;проблемы в материнской плате;2000;электросамокат
не обновляется;проблемы с программным обеспечением;2500;электросамокат
не подключается;Bluetooth;2000;электросамокат
Нет изображения;неисправность видеопроцессора, блока развертки;2000;телевизор
Нет звука;проблема в шлейфе соединения;1200;телевизор
Полосы на экране;неисправность видеопроцессора;2500;телевизор
не включается;неисправность блока питания;2000;телевизор
не настраиваются каналы;проблема в накопителе памяти;2000;телевизор
отсуствие сигнала;неисправность тюнера;1800;телевизор
пятна на экране;неисправность матрицы;2000;телевизор
подсвечена половина;неисправность подстветки матрицы;1500;телевизор
Разбитый экран;падение на твердую поверхность;1500;фотоаппарат
Поломка объектива ;не работает фокусировка и шторка.;1500;фотоаппарат
не включается;нужна полная диагностика;500;фотоаппарат
Не работает фотовспышка;механические или программные причины;1500;фотоаппарат
Не видит флеш-карту;поломка слота карты;500;фотоаппарат
не фокусируется;не работает мотор;2000;фотоаппарат
не делает фото;аппаратные неисправности;2000;фотоаппарат
посторонние звуки;проблема с контактами;1000;фотоаппарат
плохое качество снимка;замена матрицы;1500;фотоаппарат
искажение цветов;неправильная работа элементов;1500;фотоаппарат
черный экран;неисправность светочувствительной матрицы;2000;фотоаппарат
не работает кнопка;загрязнение, попадание влаги;500;фотоаппарат
не видит сеть;сбой ПО, выход из строя основных элементов ;1000;смартфон
нет изображения;механическое повреждение;1000;смартфон
не работает динамик;сломавшийся шлейф;500;смартфон
не работаем микрофон;попадание влага, сбой настроек;500;смартфон
перестал заряжаться;загрязнения разъёма;500;смартфон
сам перезагружается;сбой программного обеспечения;1000;смартфон
не видит СИМ-карту;возможна проблема с контактами;500;смартфон
сам выключается;плохое соединение между контактами;500;смартфон
быстро разряжается;утечка тока, исчерпан ресурс аккумулятора;1500;смартфон
искажение изображения ;выход из строя шлейфа;500;смартфон
не работают кнопки;коррозия внутренних элементов;1000;смартфон
камера вышла из строя;проблема с контактами;1000;смартфон
не четкое изображение;проблемы с матрицей;1000;смартфон
не работает вибро;окисление контактов;500;смартфон
не видит компьютер;проблемы с ПО;1000;смартфон
не видит сеть;аппаратные проблемы;1000;смартфон
повреждение корпуса;удар или падение;1500;смартфон
не включается;сбой ПО, внутренние поломки;1000;планшет
сам перезагружается;сбой программ;1000;планшет
нет изображения;повреждение матрицы;1500;планшет
быстро разряжается;неисправность АКБ;500;планшет
зависает;повреждением плат, последствие удара;1000;планшет
не работает передняя камера;повреждение платы;1500;планшет
не реагирует на нажатие;проблема в матрице;1500;планшет
пропало изображение;падение устройства;1500;планшет
греется при работе;проблема с процессором;1500;планшет
не работает микрофон;попадание влаги;500;планшет
не подключается к Wi-Fi;сломался передатчик, GSM модуль;500;планшет
нет звука;проблема с динамиком;500;планшет
не видит SIM-карту;сломался слот;500;планшет
не четкие фото;попадание грязи на датчик;1500;планшет
камера не работает;механическое неисправности;1500;планшет
вибрация не работает;сломался вибромотор;500;планшет
кнопки не реагируют;окисление внутренних элементов;500;планшет
нет изображения на мониторе;повреждение шлейфа, видеочипа;2500;ноутбук
выключается во время работы;причиной поломки служит перегрев, плохие контакты;1900;ноутбук
не загружается операционная система;неверно установленные драйвера;1000;ноутбук
не заряжается батарея;системные повреждения;2500;ноутбук
долго загружается;сбой ПО;500;ноутбук
тусклое изображение;неисправность лампы;1000;ноутбук
не работает клавиатура;механическом повреждении, попадании грязи;500;ноутбук
изображение полосит;повреждение матрицы;1000;ноутбук
размытая картинка;проблема со шлейфом ;1000;ноутбук
не видит флешку;неисправность шлейфа;1000;ноутбук
повреждения корпуса;удар или падение;500;ноутбук
шум при работе;поломка вентилятора;300;ноутбук
нет интернета;программные проблемы;500;ноутбук
нет звука;проблемы с динамиком;500;ноутбук
не работает гарнитура;программные сбои;500;ноутбук
медленная загрузка файлов;вирусы, устаревшая ПО;500;ноутбук
не работают разьемы;попадание грязи, жидковсти;700;ноутбук
не приигрывает видео;нет кодеков;300;ноутбук
пятна на матрице;причина в светорассеивающих подложках;1000;ноутбук
не работает Wi-Fi;выход модуля из стря;500;ноутбук
