Замена микрофона;моноблок;800;1000;45
Ремонт цепи питания;моноблок;1800;2800;120
Замена материнской платы;моноблок;500;1000;60
Замена оперативной памяти;моноблок;300;500;15
Замена видеочипа;моноблок;1600;2200;120
Замена процессора;моноблок;300;500;30
Замена модуля Wi-Fi;моноблок;500;800;30
Замена кулера;моноблок;900;1200;45
Замена шлейфа матрицы;моноблок;600;1100;60
Замена камеры;моноблок;500;900;45
Установка операционной системы;моноблок;500;1500;45
Замена блока питания;моноблок;300;600;15
Прошивка BIOS;моноблок;500;800;45
Замена северного моста;моноблок;1500;2100;120
Ремонт разъема;моноблок;600;800;45
Замена звуковой платы;моноблок;400;800;45
Замена HDD;моноблок;300;500;15
Замена матрицы;моноблок;500;1000;60
Чистка (замена термопасты);моноблок;800;1400;60
Замена матрицы;ноутбук;500;1000;60
Замена шлейфа матрицы;ноутбук;600;1100;60
Замена видеочипа;ноутбук;1600;2200;120
Установка операционной системы;ноутбук;500;1500;45
Замена модуля Wi-Fi;ноутбук;500;800;30
Замена материнской платы;ноутбук;500;1000;60
Замена процессора;ноутбук;300;500;30
Замена камеры;ноутбук;500;900;45
Замена кулера;ноутбук;900;1200;45
Ремонт разъема;ноутбук;600;800;45
Замена звуковой платы;ноутбук;400;800;45
Замена северного моста;ноутбук;1500;2100;120
Замена оперативной памяти;ноутбук;300;500;15
Прошивка BIOS;ноутбук;500;800;45
Замена клавиатуры;ноутбук;600;700;30
Ремонт петлей;ноутбук;500;1200;60
Ремонт цепи питания;ноутбук;1800;2800;120
Замена HDD;ноутбук;300;500;15
Замена аккумулятора;ноутбук;500;600;15
Замена микрофона;ноутбук;800;1000;45
Чистка (замена термопасты);ноутбук;800;1400;60
Замена тачпада;ноутбук;500;1000;60
Замена микрофона;планшет;500;800;60
Замена модуля Wi-Fi;планшет;700;1500;80
Замена разъема флеш;планшет;500;1000;80
Замена динамика полифонии;планшет;800;1200;60
Замена корпуса;планшет;500;1200;120
Замена виброматора;планшет;500;800;40
Замена голосового динамика;планшет;800;1200;60
Замена кнопки включения;планшет;500;1200;120
Замена сенсорного стекла;планшет;600;900;120
Замена входа ЗУ;планшет;500;1000;40
Замена аккумулятора;планшет;500;1000;30
Замена фронтальной камеры;планшет;1500;3500;120
Замена GPS;планшет;600;1100;180
Замена основной камеры;планшет;1000;3000;120
Восстановление IMEI;планшет;1000;1500;240
Замена контроллера питания;планшет;1500;3000;300
Обновление ПО;планшет;500;1200;240
Замена дисплейного модуля;планшет;1200;3000;160
Ремонт боковых кнопок громкости;планшет;700;1500;60
Замена блока лазера;принтер;800;1200;45
Замена платы;принтер;900;1050;60
Замена асорбера;принтер;500;1200;40
Замена дисплея;принтер;600;750;30
Замена батареи;принтер;300;450;20
Замена шестерни редуктора;принтер;800;1200;45
Замена узла формирования изображения;принтер;1800;2400;90
Замена головки;принтер;1200;1900;40
Замена платы управления;принтер;1200;1900;90
Ремонт разъема питания;принтер;600;750;40
Замена узла сканирования изоражения;принтер;1000;1300;60
Замена платы питания;принтер;1500;2500;90
Замена резинового вала;принтер;500;1200;40
Ремонт кнопки включения;принтер;600;750;60
Замена узла закрепления;принтер;1500;3500;120
Замена узла подачи бумаги;принтер;2000;3200;120
Обновление ПО;приставка;800;1000;30
Замена разъема;приставка;1000;2500;30
Ремонт Bly-Ray;приставка;2000;2500;60
Замена HDD;приставка;300;500;30
Замена материнской платы;приставка;4000;15000;180
Замена блока питания;приставка;1800;2500;60
Замена термопасты;приставка;800;1200;45
Ребболинг чипа;приставка;1500;4500;120
Замена язычка узла складывания;самокат;500;700;
Ремонт штатной акб на отвал контактов/замена предохранителя;самокат;1300;1500;
Замена болта оси узла складывания;самокат;200;600;
Установка заднего брызговика;самокат;200;300;
Проклейка оригинальных покрышек камерой;самокат;1100;1500;
Замена на акб повышенной емкости;самокат;1500;1800;
Замена камеры в переднем или заднем колесе;самокат;500;700;
Установка покрышки 10 дюймов на переднее колесо,;самокат;600;800;
Замена крыла заднего;самокат;600;800;
Замена подшипников заднего колеса;самокат;1500;2000;
Замена акб повышенной емкости или напряжения;самокат;1500;1800;
Замена подшипников колеса;самокат;3500;4000;
Замена болта узла складывания;самокат;500;600;
Ремонт платы управления в руле;самокат;1000;1500;
Подключение доп акб к штатной акб;самокат;2200;2500;
Замена подшипников переднего колеса;самокат;2500;3000;
Установка литой покрышки на самокате;самокат;1000;1500;
Замена подножки;самокат;300;600;
Замена крыла переднего;самокат;500;700;
Замена покрышек;самокат;500;700;
Установка литой покрышки на голый диск;самокат;500;700;
Ремонт выгоревшего контроллера;самокат;300;500;
Настройка механического тормоза;самокат;500;700;
Установка заглушки гнезда зарядки;самокат;600;800;
Замена контроллера;телевизор;1200;1600;60
Ремонт цепи питания;телевизор;2000;3500;180
Замена блока питания;телевизор;800;1200;120
Замена тюнера;телевизор;1200;2500;120
Замена разъема;телевизор;1000;1600;45
Прошивка блока управления;телевизор;800;1150;45
Замена матрицы;телевизор;1000;1700;60
Замена Wi-Fi;телевизор;800;1250;60
Замена лампы подсветки;телевизор;1200;1400;60
Ремонт блока управления;телевизор;700;1100;60
Замена сенсорного стекла;смартфон;600;900;120
Замена кнопки включения;смартфон;500;1200;120
Ремонт шлейфа экрана;смартфон;500;800;60
Замена разъема флеш;смартфон;500;1000;80
Замена корпуса;смартфон;500;1200;60
Замена виброматора;смартфон;500;800;40
Обновление ПО;смартфон;500;1200;120
Замена датчика света;смартфон;800;1200;60
Замена основной камеры;смартфон;1000;3000;120
Замена приемопередатчика;смартфон;1200;3000;240
Замена динамика полифонии;смартфон;800;1200;60
Восстановление IMEI;смартфон;1000;1500;240
Замена входа ЗУ;смартфон;500;1000;40
Замена голосового динамика;смартфон;800;1200;60
Замена контроллера питания;смартфон;1500;3000;240
Замена аккумулятора;смартфон;500;1000;30
Замена фронтальной камеры;смартфон;1500;3500;120
Замена модуля Wi-Fi;смартфон;700;1500;80
Замена гарнитурного разъема;смартфон;500;800;60
Замена дисплейного модуля;смартфон;1200;3000;160
Замена микрофона;смартфон;500;800;60
Замена GPS;смартфон;600;1100;180
Замена разъема симкарты;смартфон;500;1000;80
Замена NFC;смартфон;1500;3500;120
Замена разъёма ;фото;500;1000;60
Устранение битых пикселей на CCD/CMOS матрице;фото;1000;2100;120
Ремонт вспышки;фото;800;1500;60
Прошивка;фото;1000;1500;120
Чистка матрицы;фото;1500;2300;60
Замена матрицы;фото;1000;2000;120
Замена ЖК дисплея;фото;1500;3000;120
Замена платы отсека карты памяти;фото;1800;2500;120
Ремонт материнской платы;фото;1200;1800;120
Настройка автофокуса ;фото;1400;2000;60
Замена затвора ;фото;500;1100;120
Замена материнской платы;фото;1000;2200;120
Замена аккумулятора;часы;3300;3500;
Замена механизма включения;часы;1800;1990;
Замена стекло;часы;4000;4300;
Замена микрофона;часы;1800;1990;
Замена виброматора;часы;2000;2200;
Замена динамика;часы;1800;1990;
Восстановление ПО;часы;1000;1500;
Замена модуля Bluetooth;часы;3800;3990;
Замена экрана;часы;8000;8300;
Замена электромагнитной зарядки;часы;3500;4000;
